id,prediction
GCA_003694355_2000_0,aerobe
GCA_003694355_2000_1,aerobe
GCA_003694355_2000_2,aerobe
GCA_003694355_2000_3,aerobe
GCA_003694355_2000_4,aerobe
GCA_003694355_2000_5,aerobe
GCA_003694355_2000_6,aerobe
GCA_003694355_2000_7,aerobe
GCA_003694355_2000_8,aerobe
GCA_003694355_2000_9,aerobe
GCA_003694355_2000_10,aerobe
GCA_003694355_2000_11,aerobe
GCA_003694355_2000_12,aerobe
GCA_003694355_2000_13,aerobe
GCA_003694355_2000_14,aerobe
GCA_003694355_2000_15,aerobe
GCA_003694355_2000_16,aerobe
GCA_003694355_2000_17,aerobe
GCA_003694355_2000_18,aerobe
GCA_003694355_2000_19,aerobe
GCA_003694355_2000_20,aerobe
GCA_003694355_2000_21,aerobe
GCA_003694355_2000_22,aerobe
GCA_003694355_2000_23,aerobe
GCA_003694355_2000_24,aerobe
GCA_003694355_2000_25,aerobe
GCA_003694355_2000_26,aerobe
GCA_003694355_2000_27,aerobe
GCA_003694355_2000_28,aerobe
GCA_003694355_2000_29,aerobe
GCA_003694355_2000_30,aerobe
GCA_003694355_2000_31,aerobe
GCA_003694355_2000_32,aerobe
GCA_003694355_2000_33,aerobe
GCA_003694355_2000_34,aerobe
GCA_003694355_2000_35,aerobe
GCA_003694355_2000_36,aerobe
GCA_003694355_2000_37,aerobe
GCA_003694355_2000_38,aerobe
GCA_003694355_2000_39,aerobe
GCA_003694355_2000_40,aerobe
GCA_003694355_2000_41,aerobe
GCA_003694355_2000_42,aerobe
GCA_003694355_2000_43,aerobe
GCA_003694355_2000_44,aerobe
GCA_003694355_2000_45,aerobe
GCA_003694355_2000_46,aerobe
GCA_003694355_2000_47,aerobe
GCA_003694355_2000_48,aerobe
GCA_003694355_2000_49,aerobe
GCA_003694355_2000_50,aerobe
GCA_003694355_2000_51,aerobe
GCA_003694355_2000_52,aerobe
GCA_003694355_2000_53,aerobe
GCA_003694355_2000_54,aerobe
GCA_003694355_2000_55,aerobe
GCA_003694355_2000_56,aerobe
GCA_003694355_2000_57,aerobe
GCA_003694355_2000_58,aerobe
GCA_003694355_2000_59,aerobe
GCA_003694355_2000_60,aerobe
GCA_003694355_2000_61,aerobe
GCA_003694355_2000_62,aerobe
GCA_003694355_2000_63,aerobe
GCA_003694355_2000_64,aerobe
GCA_003694355_2000_65,aerobe
GCA_003694355_2000_66,aerobe
GCA_003694355_2000_67,aerobe
GCA_003694355_2000_68,aerobe
GCA_003694355_2000_69,aerobe
GCA_003694355_2000_70,aerobe
GCA_003694355_2000_71,aerobe
GCA_003694355_2000_72,aerobe
GCA_003694355_2000_73,aerobe
GCA_003694355_2000_74,aerobe
GCA_003694355_2000_75,aerobe
GCA_003694355_2000_76,aerobe
GCA_003694355_2000_77,aerobe
GCA_003694355_2000_78,aerobe
GCA_003694355_2000_79,aerobe
GCA_003694355_2000_80,aerobe
GCA_003694355_2000_81,aerobe
GCA_003694355_2000_82,aerobe
GCA_003694355_2000_83,aerobe
GCA_003694355_2000_84,aerobe
GCA_003694355_2000_85,aerobe
GCA_003694355_2000_86,aerobe
GCA_003694355_2000_87,aerobe
GCA_003694355_2000_88,aerobe
GCA_003694355_2000_89,aerobe
GCA_003694355_2000_90,aerobe
GCA_003694355_2000_91,aerobe
GCA_003694355_2000_92,aerobe
GCA_003694355_2000_93,aerobe
GCA_003694355_2000_94,aerobe
GCA_003694355_2000_95,aerobe
GCA_003694355_2000_96,aerobe
GCA_003694355_2000_97,aerobe
GCA_003694355_2000_98,aerobe
GCA_003694355_2000_99,aerobe
GCA_003694355_5000_0,aerobe
GCA_003694355_5000_1,aerobe
GCA_003694355_5000_2,aerobe
GCA_003694355_5000_3,aerobe
GCA_003694355_5000_4,aerobe
GCA_003694355_5000_5,aerobe
GCA_003694355_5000_6,aerobe
GCA_003694355_5000_7,aerobe
GCA_003694355_5000_8,aerobe
GCA_003694355_5000_9,aerobe
GCA_003694355_5000_10,aerobe
GCA_003694355_5000_11,aerobe
GCA_003694355_5000_12,aerobe
GCA_003694355_5000_13,aerobe
GCA_003694355_5000_14,aerobe
GCA_003694355_5000_15,aerobe
GCA_003694355_5000_16,aerobe
GCA_003694355_5000_17,aerobe
GCA_003694355_5000_18,aerobe
GCA_003694355_5000_19,aerobe
GCA_003694355_5000_20,aerobe
GCA_003694355_5000_21,aerobe
GCA_003694355_5000_22,aerobe
GCA_003694355_5000_23,aerobe
GCA_003694355_5000_24,aerobe
GCA_003694355_5000_25,aerobe
GCA_003694355_5000_26,aerobe
GCA_003694355_5000_27,aerobe
GCA_003694355_5000_28,aerobe
GCA_003694355_5000_29,aerobe
GCA_003694355_5000_30,aerobe
GCA_003694355_5000_31,aerobe
GCA_003694355_5000_32,aerobe
GCA_003694355_5000_33,aerobe
GCA_003694355_5000_34,aerobe
GCA_003694355_5000_35,aerobe
GCA_003694355_5000_36,aerobe
GCA_003694355_5000_37,aerobe
GCA_003694355_5000_38,aerobe
GCA_003694355_5000_39,aerobe
GCA_003694355_5000_40,aerobe
GCA_003694355_5000_41,aerobe
GCA_003694355_5000_42,aerobe
GCA_003694355_5000_43,aerobe
GCA_003694355_5000_44,aerobe
GCA_003694355_5000_45,aerobe
GCA_003694355_5000_46,aerobe
GCA_003694355_5000_47,aerobe
GCA_003694355_5000_48,aerobe
GCA_003694355_5000_49,aerobe
GCA_003694355_5000_50,aerobe
GCA_003694355_5000_51,aerobe
GCA_003694355_5000_52,aerobe
GCA_003694355_5000_53,aerobe
GCA_003694355_5000_54,aerobe
GCA_003694355_5000_55,aerobe
GCA_003694355_5000_56,aerobe
GCA_003694355_5000_57,aerobe
GCA_003694355_5000_58,aerobe
GCA_003694355_5000_59,aerobe
GCA_003694355_5000_60,aerobe
GCA_003694355_5000_61,aerobe
GCA_003694355_5000_62,aerobe
GCA_003694355_5000_63,aerobe
GCA_003694355_5000_64,aerobe
GCA_003694355_5000_65,aerobe
GCA_003694355_5000_66,aerobe
GCA_003694355_5000_67,aerobe
GCA_003694355_5000_68,aerobe
GCA_003694355_5000_69,aerobe
GCA_003694355_5000_70,aerobe
GCA_003694355_5000_71,aerobe
GCA_003694355_5000_72,aerobe
GCA_003694355_5000_73,aerobe
GCA_003694355_5000_74,aerobe
GCA_003694355_5000_75,aerobe
GCA_003694355_5000_76,aerobe
GCA_003694355_5000_77,aerobe
GCA_003694355_5000_78,aerobe
GCA_003694355_5000_79,aerobe
GCA_003694355_5000_80,aerobe
GCA_003694355_5000_81,aerobe
GCA_003694355_5000_82,aerobe
GCA_003694355_5000_83,aerobe
GCA_003694355_5000_84,aerobe
GCA_003694355_5000_85,aerobe
GCA_003694355_5000_86,aerobe
GCA_003694355_5000_87,aerobe
GCA_003694355_5000_88,aerobe
GCA_003694355_5000_89,aerobe
GCA_003694355_5000_90,aerobe
GCA_003694355_5000_91,aerobe
GCA_003694355_5000_92,aerobe
GCA_003694355_5000_93,aerobe
GCA_003694355_5000_94,aerobe
GCA_003694355_5000_95,aerobe
GCA_003694355_5000_96,aerobe
GCA_003694355_5000_97,aerobe
GCA_003694355_5000_98,aerobe
GCA_003694355_5000_99,aerobe
GCA_003694355_7000_0,aerobe
GCA_003694355_7000_1,aerobe
GCA_003694355_7000_2,aerobe
GCA_003694355_7000_3,aerobe
GCA_003694355_7000_4,aerobe
GCA_003694355_7000_5,aerobe
GCA_003694355_7000_6,aerobe
GCA_003694355_7000_7,aerobe
GCA_003694355_7000_8,aerobe
GCA_003694355_7000_9,aerobe
GCA_003694355_7000_10,aerobe
GCA_003694355_7000_11,aerobe
GCA_003694355_7000_12,aerobe
GCA_003694355_7000_13,aerobe
GCA_003694355_7000_14,aerobe
GCA_003694355_7000_15,aerobe
GCA_003694355_7000_16,aerobe
GCA_003694355_7000_17,aerobe
GCA_003694355_7000_18,aerobe
GCA_003694355_7000_19,aerobe
GCA_003694355_7000_20,aerobe
GCA_003694355_7000_21,aerobe
GCA_003694355_7000_22,aerobe
GCA_003694355_7000_23,aerobe
GCA_003694355_7000_24,aerobe
GCA_003694355_7000_25,aerobe
GCA_003694355_7000_26,aerobe
GCA_003694355_7000_27,aerobe
GCA_003694355_7000_28,aerobe
GCA_003694355_7000_29,aerobe
GCA_003694355_7000_30,aerobe
GCA_003694355_7000_31,aerobe
GCA_003694355_7000_32,aerobe
GCA_003694355_7000_33,aerobe
GCA_003694355_7000_34,aerobe
GCA_003694355_7000_35,aerobe
GCA_003694355_7000_36,aerobe
GCA_003694355_7000_37,aerobe
GCA_003694355_7000_38,aerobe
GCA_003694355_7000_39,aerobe
GCA_003694355_7000_40,aerobe
GCA_003694355_7000_41,aerobe
GCA_003694355_7000_42,aerobe
GCA_003694355_7000_43,aerobe
GCA_003694355_7000_44,aerobe
GCA_003694355_7000_45,aerobe
GCA_003694355_7000_46,aerobe
GCA_003694355_7000_47,aerobe
GCA_003694355_7000_48,aerobe
GCA_003694355_7000_49,aerobe
GCA_003694355_7000_50,aerobe
GCA_003694355_7000_51,aerobe
GCA_003694355_7000_52,aerobe
GCA_003694355_7000_53,aerobe
GCA_003694355_7000_54,aerobe
GCA_003694355_7000_55,aerobe
GCA_003694355_7000_56,aerobe
GCA_003694355_7000_57,aerobe
GCA_003694355_7000_58,aerobe
GCA_003694355_7000_59,aerobe
GCA_003694355_7000_60,aerobe
GCA_003694355_7000_61,aerobe
GCA_003694355_7000_62,aerobe
GCA_003694355_7000_63,aerobe
GCA_003694355_7000_64,aerobe
GCA_003694355_7000_65,aerobe
GCA_003694355_7000_66,aerobe
GCA_003694355_7000_67,aerobe
GCA_003694355_7000_68,aerobe
GCA_003694355_7000_69,aerobe
GCA_003694355_7000_70,aerobe
GCA_003694355_7000_71,aerobe
GCA_003694355_7000_72,aerobe
GCA_003694355_7000_73,aerobe
GCA_003694355_7000_74,aerobe
GCA_003694355_7000_75,aerobe
GCA_003694355_7000_76,aerobe
GCA_003694355_7000_77,aerobe
GCA_003694355_7000_78,aerobe
GCA_003694355_7000_79,aerobe
GCA_003694355_7000_80,aerobe
GCA_003694355_7000_81,aerobe
GCA_003694355_7000_82,aerobe
GCA_003694355_7000_83,aerobe
GCA_003694355_7000_84,aerobe
GCA_003694355_7000_85,aerobe
GCA_003694355_7000_86,aerobe
GCA_003694355_7000_87,aerobe
GCA_003694355_7000_88,aerobe
GCA_003694355_7000_89,aerobe
GCA_003694355_7000_90,aerobe
GCA_003694355_7000_91,aerobe
GCA_003694355_7000_92,aerobe
GCA_003694355_7000_93,aerobe
GCA_003694355_7000_94,aerobe
GCA_003694355_7000_95,aerobe
GCA_003694355_7000_96,aerobe
GCA_003694355_7000_97,aerobe
GCA_003694355_7000_98,aerobe
GCA_003694355_7000_99,aerobe
GCA_003694355_10000_0,aerobe
GCA_003694355_10000_1,aerobe
GCA_003694355_10000_2,aerobe
GCA_003694355_10000_3,aerobe
GCA_003694355_10000_4,aerobe
GCA_003694355_10000_5,aerobe
GCA_003694355_10000_6,aerobe
GCA_003694355_10000_7,aerobe
GCA_003694355_10000_8,aerobe
GCA_003694355_10000_9,aerobe
GCA_003694355_10000_10,aerobe
GCA_003694355_10000_11,aerobe
GCA_003694355_10000_12,aerobe
GCA_003694355_10000_13,aerobe
GCA_003694355_10000_14,aerobe
GCA_003694355_10000_15,aerobe
GCA_003694355_10000_16,aerobe
GCA_003694355_10000_17,aerobe
GCA_003694355_10000_18,aerobe
GCA_003694355_10000_19,aerobe
GCA_003694355_10000_20,aerobe
GCA_003694355_10000_21,aerobe
GCA_003694355_10000_22,aerobe
GCA_003694355_10000_23,aerobe
GCA_003694355_10000_24,aerobe
GCA_003694355_10000_25,aerobe
GCA_003694355_10000_26,aerobe
GCA_003694355_10000_27,aerobe
GCA_003694355_10000_28,aerobe
GCA_003694355_10000_29,aerobe
GCA_003694355_10000_30,aerobe
GCA_003694355_10000_31,aerobe
GCA_003694355_10000_32,aerobe
GCA_003694355_10000_33,aerobe
GCA_003694355_10000_34,aerobe
GCA_003694355_10000_35,aerobe
GCA_003694355_10000_36,aerobe
GCA_003694355_10000_37,aerobe
GCA_003694355_10000_38,aerobe
GCA_003694355_10000_39,aerobe
GCA_003694355_10000_40,aerobe
GCA_003694355_10000_41,aerobe
GCA_003694355_10000_42,aerobe
GCA_003694355_10000_43,aerobe
GCA_003694355_10000_44,aerobe
GCA_003694355_10000_45,aerobe
GCA_003694355_10000_46,aerobe
GCA_009886055_2000_0,aerobe
GCA_009886055_2000_1,aerobe
GCA_009886055_2000_2,aerobe
GCA_009886055_2000_3,aerobe
GCA_009886055_2000_4,aerobe
GCA_009886055_2000_5,aerobe
GCA_009886055_2000_6,aerobe
GCA_009886055_2000_7,aerobe
GCA_009886055_2000_8,aerobe
GCA_009886055_2000_9,aerobe
GCA_009886055_2000_10,aerobe
GCA_009886055_2000_11,aerobe
GCA_009886055_2000_12,aerobe
GCA_009886055_2000_13,aerobe
GCA_009886055_2000_14,aerobe
GCA_009886055_2000_15,aerobe
GCA_009886055_2000_16,aerobe
GCA_009886055_2000_17,aerobe
GCA_009886055_2000_18,aerobe
GCA_009886055_2000_19,aerobe
GCA_009886055_2000_20,aerobe
GCA_009886055_2000_21,aerobe
GCA_009886055_2000_22,aerobe
GCA_009886055_2000_23,aerobe
GCA_009886055_2000_24,aerobe
GCA_009886055_2000_25,aerobe
GCA_009886055_2000_26,aerobe
GCA_009886055_2000_27,aerobe
GCA_009886055_2000_28,aerobe
GCA_009886055_2000_29,aerobe
GCA_009886055_2000_30,aerobe
GCA_009886055_2000_31,aerobe
GCA_009886055_2000_32,aerobe
GCA_009886055_2000_33,aerobe
GCA_009886055_2000_34,aerobe
GCA_009886055_2000_35,aerobe
GCA_009886055_2000_36,aerobe
GCA_009886055_2000_37,aerobe
GCA_009886055_2000_38,aerobe
GCA_009886055_2000_39,aerobe
GCA_009886055_2000_40,aerobe
GCA_009886055_2000_41,aerobe
GCA_009886055_2000_42,aerobe
GCA_009886055_2000_43,aerobe
GCA_009886055_2000_44,aerobe
GCA_009886055_2000_45,aerobe
GCA_009886055_2000_46,aerobe
GCA_009886055_2000_47,aerobe
GCA_009886055_2000_48,aerobe
GCA_009886055_2000_49,aerobe
GCA_009886055_2000_50,aerobe
GCA_009886055_2000_51,aerobe
GCA_009886055_2000_52,aerobe
GCA_009886055_2000_53,aerobe
GCA_009886055_2000_54,aerobe
GCA_009886055_2000_55,aerobe
GCA_009886055_2000_56,aerobe
GCA_009886055_2000_57,aerobe
GCA_009886055_2000_58,aerobe
GCA_009886055_2000_59,aerobe
GCA_009886055_2000_60,aerobe
GCA_009886055_2000_61,aerobe
GCA_009886055_2000_62,aerobe
GCA_009886055_2000_63,aerobe
GCA_009886055_2000_64,aerobe
GCA_009886055_2000_65,aerobe
GCA_009886055_2000_66,aerobe
GCA_009886055_2000_67,aerobe
GCA_009886055_2000_68,aerobe
GCA_009886055_2000_69,aerobe
GCA_009886055_2000_70,aerobe
GCA_009886055_2000_71,aerobe
GCA_009886055_2000_72,aerobe
GCA_009886055_2000_73,aerobe
GCA_009886055_2000_74,aerobe
GCA_009886055_2000_75,aerobe
GCA_009886055_2000_76,aerobe
GCA_009886055_2000_77,aerobe
GCA_009886055_2000_78,aerobe
GCA_009886055_2000_79,aerobe
GCA_009886055_2000_80,aerobe
GCA_009886055_2000_81,aerobe
GCA_009886055_2000_82,aerobe
GCA_009886055_2000_83,aerobe
GCA_009886055_2000_84,aerobe
GCA_009886055_2000_85,aerobe
GCA_009886055_2000_86,aerobe
GCA_009886055_2000_87,aerobe
GCA_009886055_2000_88,aerobe
GCA_009886055_2000_89,aerobe
GCA_009886055_2000_90,aerobe
GCA_009886055_2000_91,aerobe
GCA_009886055_2000_92,aerobe
GCA_009886055_2000_93,aerobe
GCA_009886055_2000_94,aerobe
GCA_009886055_2000_95,aerobe
GCA_009886055_2000_96,aerobe
GCA_009886055_2000_97,aerobe
GCA_009886055_2000_98,aerobe
GCA_009886055_2000_99,aerobe
GCA_009886055_5000_0,aerobe
GCA_009886055_5000_1,aerobe
GCA_009886055_5000_2,aerobe
GCA_009886055_5000_3,aerobe
GCA_009886055_5000_4,aerobe
GCA_009886055_5000_5,aerobe
GCA_009886055_5000_6,aerobe
GCA_009886055_5000_7,aerobe
GCA_009886055_5000_8,aerobe
GCA_009886055_5000_9,aerobe
GCA_009886055_5000_10,aerobe
GCA_009886055_5000_11,aerobe
GCA_009886055_5000_12,aerobe
GCA_009886055_5000_13,aerobe
GCA_009886055_5000_14,aerobe
GCA_009886055_5000_15,aerobe
GCA_009886055_5000_16,aerobe
GCA_009886055_5000_17,aerobe
GCA_009886055_5000_18,aerobe
GCA_009886055_5000_19,aerobe
GCA_009886055_5000_20,aerobe
GCA_009886055_5000_21,aerobe
GCA_009886055_5000_22,aerobe
GCA_009886055_5000_23,aerobe
GCA_009886055_5000_24,aerobe
GCA_009886055_5000_25,aerobe
GCA_009886055_5000_26,aerobe
GCA_009886055_5000_27,aerobe
GCA_009886055_5000_28,aerobe
GCA_009886055_5000_29,aerobe
GCA_009886055_5000_30,aerobe
GCA_009886055_5000_31,aerobe
GCA_009886055_5000_32,aerobe
GCA_009886055_5000_33,aerobe
GCA_009886055_5000_34,aerobe
GCA_009886055_5000_35,aerobe
GCA_009886055_5000_36,aerobe
GCA_009886055_5000_37,aerobe
GCA_009886055_5000_38,aerobe
GCA_009886055_5000_39,aerobe
GCA_009886055_5000_40,aerobe
GCA_009886055_5000_41,aerobe
GCA_009886055_5000_42,aerobe
GCA_009886055_5000_43,aerobe
GCA_009886055_5000_44,aerobe
GCA_009886055_5000_45,aerobe
GCA_009886055_5000_46,aerobe
GCA_009886055_5000_47,aerobe
GCA_009886055_5000_48,aerobe
GCA_009886055_5000_49,aerobe
GCA_009886055_5000_50,aerobe
GCA_009886055_5000_51,aerobe
GCA_009886055_5000_52,aerobe
GCA_009886055_5000_53,aerobe
GCA_009886055_5000_54,aerobe
GCA_009886055_5000_55,aerobe
GCA_009886055_5000_56,aerobe
GCA_009886055_5000_57,aerobe
GCA_009886055_5000_58,aerobe
GCA_009886055_5000_59,aerobe
GCA_009886055_5000_60,aerobe
GCA_009886055_5000_61,aerobe
GCA_009886055_5000_62,aerobe
GCA_009886055_5000_63,aerobe
GCA_009886055_5000_64,aerobe
GCA_009886055_5000_65,aerobe
GCA_009886055_5000_66,aerobe
GCA_009886055_5000_67,aerobe
GCA_009886055_5000_68,aerobe
GCA_009886055_5000_69,aerobe
GCA_009886055_5000_70,aerobe
GCA_009886055_5000_71,aerobe
GCA_009886055_5000_72,aerobe
GCA_009886055_5000_73,aerobe
GCA_009886055_5000_74,aerobe
GCA_009886055_5000_75,aerobe
GCA_009886055_5000_76,aerobe
GCA_009886055_5000_77,aerobe
GCA_009886055_5000_78,aerobe
GCA_009886055_5000_79,aerobe
GCA_009886055_5000_80,aerobe
GCA_009886055_5000_81,aerobe
GCA_009886055_5000_82,aerobe
GCA_009886055_5000_83,aerobe
GCA_009886055_5000_84,aerobe
GCA_009886055_5000_85,aerobe
GCA_009886055_5000_86,aerobe
GCA_009886055_5000_87,aerobe
GCA_009886055_5000_88,aerobe
GCA_009886055_5000_89,aerobe
GCA_009886055_5000_90,aerobe
GCA_009886055_5000_91,aerobe
GCA_009886055_5000_92,aerobe
GCA_009886055_5000_93,aerobe
GCA_009886055_5000_94,aerobe
GCA_009886055_5000_95,aerobe
GCA_009886055_5000_96,aerobe
GCA_009886055_5000_97,aerobe
GCA_009886055_5000_98,aerobe
GCA_009886055_5000_99,aerobe
GCA_009886055_7000_0,aerobe
GCA_009886055_7000_1,aerobe
GCA_009886055_7000_2,aerobe
GCA_009886055_7000_3,aerobe
GCA_009886055_7000_4,aerobe
GCA_009886055_7000_5,aerobe
GCA_009886055_7000_6,aerobe
GCA_009886055_7000_7,aerobe
GCA_009886055_7000_8,aerobe
GCA_009886055_7000_9,aerobe
GCA_009886055_7000_10,aerobe
GCA_009886055_7000_11,aerobe
GCA_009886055_7000_12,aerobe
GCA_009886055_7000_13,aerobe
GCA_009886055_7000_14,aerobe
GCA_009886055_7000_15,aerobe
GCA_009886055_7000_16,aerobe
GCA_009886055_7000_17,aerobe
GCA_009886055_7000_18,aerobe
GCA_009886055_7000_19,aerobe
GCA_009886055_7000_20,aerobe
GCA_009886055_7000_21,aerobe
GCA_009886055_7000_22,aerobe
GCA_009886055_7000_23,aerobe
GCA_009886055_7000_24,aerobe
GCA_009886055_7000_25,aerobe
GCA_009886055_7000_26,aerobe
GCA_009886055_7000_27,aerobe
GCA_009886055_7000_28,aerobe
GCA_009886055_7000_29,aerobe
GCA_009886055_7000_30,aerobe
GCA_009886055_7000_31,aerobe
GCA_009886055_7000_32,aerobe
GCA_009886055_7000_33,aerobe
GCA_009886055_7000_34,aerobe
GCA_009886055_7000_35,aerobe
GCA_009886055_7000_36,aerobe
GCA_009886055_7000_37,aerobe
GCA_009886055_7000_38,aerobe
GCA_009886055_7000_39,aerobe
GCA_009886055_7000_40,aerobe
GCA_009886055_7000_41,aerobe
GCA_009886055_7000_42,aerobe
GCA_009886055_7000_43,aerobe
GCA_009886055_7000_44,aerobe
GCA_009886055_7000_45,aerobe
GCA_009886055_7000_46,aerobe
GCA_009886055_7000_47,aerobe
GCA_009886055_7000_48,aerobe
GCA_009886055_7000_49,aerobe
GCA_009886055_7000_50,aerobe
GCA_009886055_7000_51,aerobe
GCA_009886055_7000_52,aerobe
GCA_009886055_7000_53,aerobe
GCA_009886055_7000_54,aerobe
GCA_009886055_7000_55,aerobe
GCA_009886055_7000_56,aerobe
GCA_009886055_7000_57,aerobe
GCA_009886055_7000_58,aerobe
GCA_009886055_7000_59,aerobe
GCA_009886055_7000_60,aerobe
GCA_009886055_7000_61,aerobe
GCA_009886055_7000_62,aerobe
GCA_009886055_7000_63,aerobe
GCA_009886055_7000_64,aerobe
GCA_009886055_7000_65,aerobe
GCA_009886055_7000_66,aerobe
GCA_009886055_7000_67,aerobe
GCA_009886055_7000_68,aerobe
GCA_009886055_7000_69,aerobe
GCA_009886055_7000_70,aerobe
